date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub 
"2019 Mar 31",2458573.9565,"r", -18.34, 17.54,0.05, 20.39,"P48+ZTF","2","None","None",True
"2019 Apr 01",2458574.8642,"g", -17.89, 17.99,0.06, 20.68,"P48+ZTF","2","None","None",True
"2019 Apr 01",2458574.8937,"g", -17.92, 17.96,0.07, 20.84,"P48+ZTF","2","None","None",True
"2019 Apr 01",2458574.9033,"g", -17.92, 17.96,0.07, 20.64,"P48+ZTF","2","None","None",True
"2019 Apr 01",2458574.9325,"r", -18.36, 17.52,0.06, 20.23,"P48+ZTF","2","None","None",True
"2019 Apr 01",2458574.9560,"r", -18.35, 17.53,0.05, 19.61,"P48+ZTF","2","None","None",True
"2019 Apr 01",2458574.9784,"r", -18.39, 17.49,0.09, 18.46,"P48+ZTF","2","None","None",True
"2019 Apr 02",2458575.7977,"g", -17.93, 17.95,0.07, 20.29,"P48+ZTF","2","None","None",True
"2019 Apr 02",2458575.8332,"g", -17.85, 18.03,0.05, 20.92,"P48+ZTF","2","None","None",True
"2019 Apr 02",2458575.8496,"g", -17.88, 18.00,0.07, 20.47,"P48+ZTF","1","None","None",True
"2019 Apr 02",2458575.8506,"g", -17.87, 18.01,0.07, 20.55,"P48+ZTF","2","None","None",True
"2019 Apr 02",2458575.8784,"r", -18.22, 17.66,0.12, 18.52,"P48+ZTF","2","None","None",True
"2019 Apr 02",2458575.9064,"r", -18.32, 17.56,0.05, 20.74,"P48+ZTF","2","None","None",True
"2019 Apr 02",2458575.9073,"r", -18.33, 17.55,0.05, 20.77,"P48+ZTF","1","None","None",True
"2019 Apr 02",2458575.9281,"r", -18.32, 17.56,0.04, 20.72,"P48+ZTF","2","None","None",True
